tf	target	value	pvalue	study
STB4	YGL184C	2.71339968792896	0.00665967277164301	Kemmeren_2014
STB4	YDR154C	-3.33111234844888	0.000864996839147957	Kemmeren_2014
STB4	YBR046C	12.7582327446504	2.80492558541089e-37	Kemmeren_2014
STB4	YBR222C	9.23639487630646	2.54942293297371e-20	Kemmeren_2014
STB4	YEL020C	7.36871288460614	1.72283250012316e-13	Kemmeren_2014
STB4	YBR047W	12.2286905001956	2.1843152676589e-34	Kemmeren_2014
STB4	YIL166C	8.38215715041423	5.1966387608862e-17	Kemmeren_2014
STB4	YPR128C	5.75390531140921	8.7205013709977e-09	Kemmeren_2014
PDR3	YAL061W	-7.1726325300261	7.35691363759748e-13	Kemmeren_2014
PDR3	YBL005W	-7.94559997736429	1.93253116563333e-15	Kemmeren_2014
PDR3	YDR406W	-11.6349213846426	2.73842322381041e-31	Kemmeren_2014
PDR3	YOR153W	-12.1677141158657	4.61835437438702e-34	Kemmeren_2014
PDR3	YLR346C	-7.76018131582712	8.48080509456209e-15	Kemmeren_2014
PDR3	YNL231C	-2.66535195108198	0.00769077867602167	Kemmeren_2014
SPT23	YDR275W	4.16034574181201	3.17766182969565e-05	Kemmeren_2014
SPT23	YBR067C	-6.90495225875209	5.02203141611173e-12	Kemmeren_2014
SPT23	YLL026W	-2.91884809843587	0.00351327375850115	Kemmeren_2014
SPT23	YOR273C	-6.02984804089422	1.64113919004404e-09	Kemmeren_2014
SPT23	YPL004C	-3.12880822199848	0.00175516822275378	Kemmeren_2014
SPT23	YNR001C	-2.91710215368503	0.0035330004235498	Kemmeren_2014
SPT23	YER067W	-3.13322332151903	0.00172897838220634	Kemmeren_2014
SPT23	YLR327C	-3.35139761131991	0.000804047658170792	Kemmeren_2014
SPT23	YIR038C	-2.78960573322282	0.00527722619985184	Kemmeren_2014
SPT23	YNL134C	-4.54630804806392	5.45951143958142e-06	Kemmeren_2014
SPT23	YMR095C	-3.1636535029898	0.00155802165379813	Kemmeren_2014
SPT23	YMR096W	-3.91803669822331	8.92731173088758e-05	Kemmeren_2014
SPT23	YJR109C	-3.32917032506862	0.000871051178477887	Kemmeren_2014
SPT23	YHL047C	-3.81476409482745	0.000136313089234714	Kemmeren_2014
SPT23	YCR005C	-6.3112369975547	2.76813904740836e-10	Kemmeren_2014
SPT23	YLR304C	-4.12761363075995	3.66547315268767e-05	Kemmeren_2014
SPT23	YMR061W	-3.04361014035905	0.00233757855213815	Kemmeren_2014
SPT23	YDR379C-A	-3.08212308043797	0.00205529836257867	Kemmeren_2014
SPT23	YLR400W	-2.91398722085109	0.00356844513777407	Kemmeren_2014
SPT23	YMR158C-A	-4.22873120016049	2.35012927468182e-05	Kemmeren_2014
SPT23	YNR044W	-3.44193208336438	0.000577575241903926	Kemmeren_2014
SPT23	YJR004C	-7.57083515999719	3.70832364152254e-14	Kemmeren_2014
SPT23	YKL178C	-2.64530857992034	0.00816164501883154	Kemmeren_2014
SPT23	YLR136C	-3.31917856192034	0.000902826785968297	Kemmeren_2014
SPT23	YOL158C	-2.81549156627025	0.00487026752352103	Kemmeren_2014
SPT23	YCL030C	-3.29486698041234	0.000984682789583093	Kemmeren_2014
SPT23	YKR080W	3.29948964286214	0.000968608016833767	Kemmeren_2014
SPT23	YDR011W	-2.83611318711168	0.00456662587028609	Kemmeren_2014
SPT23	YDR406W	-5.77346822794541	7.76562547598642e-09	Kemmeren_2014
SPT23	YOR153W	-3.68931240336858	0.000224860964753907	Kemmeren_2014
SPT23	YMR102C	-2.67943807332049	0.00737458427260148	Kemmeren_2014
SPT23	YGR035C	-3.01246057465756	0.00259139094709124	Kemmeren_2014
SPT23	YHR094C	2.82025666691038	0.00479852512667719	Kemmeren_2014
SPT23	YPL265W	-3.01315861721779	0.00258543745438911	Kemmeren_2014
SPT23	YBR114W	2.63162052277788	0.00849787203743426	Kemmeren_2014
SPT23	YPL058C	-2.71467397994105	0.00663410437382126	Kemmeren_2014
SPT23	YGL039W	6.67705923239945	2.43784439365586e-11	Kemmeren_2014
SPT23	YER056C	3.24659861564452	0.00116792977791398	Kemmeren_2014
SPT23	YER060W-A	3.09830192676075	0.00194633026955021	Kemmeren_2014
SPT23	YBL042C	2.74823721967625	0.00599166419280054	Kemmeren_2014
SPT23	YNL065W	3.21283073176287	0.00131433725505428	Kemmeren_2014
SPT23	YDR492W	-2.90714300167778	0.00364746413187098	Kemmeren_2014
SPT23	YLR413W	-2.95042641662055	0.00317335623710206	Kemmeren_2014
SPT23	YMR006C	-3.2120267993305	0.00131802079723297	Kemmeren_2014
SPT23	YOL101C	9.04104558892054	1.55180293858331e-19	Kemmeren_2014
SPT23	YJR116W	4.77325560602111	1.81271487810549e-06	Kemmeren_2014
SPT23	YMR246W	-4.47383347063715	7.68295863280942e-06	Kemmeren_2014
SPT23	YOR377W	5.88336386182626	4.02010783324836e-09	Kemmeren_2014
SPT23	YPL231W	-2.60582710906792	0.00916527116607314	Kemmeren_2014
SPT23	YNR016C	-2.86748192494595	0.00413752437693343	Kemmeren_2014
SPT23	YGR065C	-3.91759355763374	8.94373383665867e-05	Kemmeren_2014
SPT23	YJR155W	-4.38611754499482	1.15391780018382e-05	Kemmeren_2014
SPT23	YPL274W	-2.67485319953988	0.00747619788690252	Kemmeren_2014
BAS1	YJL225C	3.37181998175935	0.000746732395250453	Kemmeren_2014
BAS1	YLL026W	2.70956139910329	0.00673722340879732	Kemmeren_2014
BAS1	YDR276C	-2.71878210037653	0.00655227564418582	Kemmeren_2014
BAS1	YKR093W	-3.5383836665746	0.000402584633899708	Kemmeren_2014
BAS1	YCL042W	3.33864807618135	0.00084187146951846	Kemmeren_2014
BAS1	YJL153C	2.60045149772239	0.00931011788480939	Kemmeren_2014
BAS1	YMR096W	-2.7543110977568	0.0058815831804558	Kemmeren_2014
BAS1	YIL116W	-3.61219897289043	0.00030361145842155	Kemmeren_2014
BAS1	YPL092W	-3.07658746248621	0.00209384864850486	Kemmeren_2014
BAS1	YJL088W	-3.19866271109521	0.00138066596621241	Kemmeren_2014
BAS1	YOL058W	-5.32607228939724	1.00359202985271e-07	Kemmeren_2014
BAS1	YGR204W	-4.39223603203827	1.12190803518094e-05	Kemmeren_2014
BAS1	YLR150W	-3.78701376662725	0.000152468655798925	Kemmeren_2014
BAS1	YGR146C	-2.99631705951136	0.00273262146423362	Kemmeren_2014
BAS1	YAR015W	-4.80348879986258	1.55924614940797e-06	Kemmeren_2014
BAS1	YCL030C	-13.2753756844621	3.21653862995981e-40	Kemmeren_2014
BAS1	YNL220W	-5.77656133024949	7.62427193991642e-09	Kemmeren_2014
BAS1	YKR080W	-4.63454175558244	3.5772902468423e-06	Kemmeren_2014
BAS1	YMR189W	-3.97451670679931	7.0522312051064e-05	Kemmeren_2014
BAS1	YAR073W	4.77790902658157	1.77127481155758e-06	Kemmeren_2014
BAS1	YDR399W	-6.0870559973354	1.15005755545138e-09	Kemmeren_2014
BAS1	YGR208W	-3.44745827107548	0.000565887816462448	Kemmeren_2014
SPT2	YFR032C	3.59006837327662	0.000330591233746434	Kemmeren_2014
SPT2	YBL112C	4.12712491151672	3.67326890198007e-05	Kemmeren_2014
SPT2	YEL076C	2.57825877883019	0.00992996027234647	Kemmeren_2014
SPT2	YDR258C	-3.82754145579439	0.000129429590147012	Kemmeren_2014
SPT2	YER081W	22.8020656893189	4.37378689597655e-115	Kemmeren_2014
SPT2	YAL061W	-2.73362528561018	0.00626412871013818	Kemmeren_2014
SPT2	YML054C	-3.46520182521396	0.00052983369746538	Kemmeren_2014
SPT2	YLR327C	-2.99343334143169	0.00275857761008295	Kemmeren_2014
SPT2	YJL153C	5.22097887346549	1.77979846484683e-07	Kemmeren_2014
SPT2	YMR122W-A	3.49960823871866	0.000465942393627723	Kemmeren_2014
SPT2	YPL111W	4.82021661724685	1.43402425919092e-06	Kemmeren_2014
SPT2	YJL088W	-3.73522933224607	0.00018754419894073	Kemmeren_2014
SPT2	YOL058W	-4.80277898772589	1.56478572077733e-06	Kemmeren_2014
SPT2	YCR005C	-3.07843447515607	0.00208091285952218	Kemmeren_2014
SPT2	YML028W	3.12600587559597	0.00177198011389761	Kemmeren_2014
SPT2	YDL227C	-2.88287440125971	0.00394064529065679	Kemmeren_2014
SPT2	YCL027W	3.13215148524945	0.00173530314469023	Kemmeren_2014
SPT2	YNR044W	8.61957827660914	6.72011496023994e-18	Kemmeren_2014
SPT2	YJL157C	3.41863905811782	0.000629351501452167	Kemmeren_2014
